Chain,PaymentMethod,PurchaseAmount
Other,Cash,96.74
Other,Other,96.74
Major B,StoreCard,96.69
Major B,Cash,96.69
Regional A,Check,96.65
Major A,Check,96.65
Major E,StoreCard,96.62
Major D,Cash,96.56
Major D,Check,96.56
Regional A,StoreCard,96.56
Minor B,Check,96.56
Regional B,Cash,96.48
Major B,Cash,96.46
Regional D,StoreCard,96.44
Major D,StoreCard,96.39
Other,Cash,96.36
Major B,StoreCard,96.3
Other,Check,96.3
Major A,Cash,96.23
Major D,Cash,96.23
Major A,DebitCard,96.2
Major A,Cash,96.17
Other,Cash,96.16
Major A,Cash,96.14
Major E,Check,96.14
Major E,StoreCard,96.12
Major B,Check,96.11
Major A,Cash,96.1
Major E,StoreCard,96.09
Major A,Cash,96.07
Regional C,StoreCard,96.04
Major D,Check,96.01
Regional C,Check,96
Major A,Cash,95.98
Major D,DebitCard,95.97
Regional C,StoreCard,95.95
Major B,Check,95.95
Regional D,Cash,95.93
Regional C,Cash,95.91
Major A,Cash,95.89
Regional D,StoreCard,95.88
Other,Cash,95.87
Other,Cash,95.87
Other,Check,95.86
Other,DebitCard,95.85
Regional B,Cash,95.84
Major B,Cash,95.83
Major E,StoreCard,95.82
Major D,Check,95.8
Major D,Cash,95.79
Major E,StoreCard,95.77
Major D,Cash,95.75
Major E,Check,95.75
Major E,StoreCard,95.74
Major B,StoreCard,95.7
Regional A,StoreCard,95.7
Other,Cash,95.68
Major B,StoreCard,95.68
Regional B,Check,95.65
Regional C,Cash,95.64
Regional C,Cash,95.63
Major E,StoreCard,95.62
Other,Check,95.59
Major E,DebitCard,95.59
Major B,StoreCard,95.58
Other,Check,95.58
Regional D,Cash,95.57
Major A,Cash,95.57
Major D,Check,95.56
Other,Check,95.54
Regional C,Check,95.54
Major A,Cash,95.52
Major B,Check,95.51
Major A,Check,95.46
Major A,Cash,95.45
Major D,StoreCard,95.4
Major E,Check,95.33
Major D,Cash,95.33
Major A,Cash,95.32
Major A,Cash,95.3
Regional B,DebitCard,95.27
Major E,Check,95.23
Regional C,Check,95.22
Other,Cash,95.22
Major B,StoreCard,95.18
Major B,StoreCard,95.17
Major E,StoreCard,95.16
Other,StoreCard,95.13
Major A,Cash,95.11
Major E,Cash,95.1
Major A,Cash,95.07
Major D,Check,95.06
Major E,DebitCard,95.03
Major B,Check,95.01
Other,Cash,95
Other,Cash,94.99
Other,Cash,94.99
Regional D,Check,94.99
Other,Cash,94.97
Major A,Cash,94.96
Major B,StoreCard,94.9
Major A,DebitCard,94.89
Other,Cash,94.87
Major A,Cash,94.86
Major A,DebitCard,94.85
Regional A,Check,94.83
Other,DebitCard,94.8
Major E,StoreCard,94.8
Major D,Cash,94.74
Major B,Cash,94.73
Regional D,Check,94.72
Major E,Check,94.69
Regional B,Cash,94.68
Major A,Check,94.66
Major A,Cash,94.66
Major A,Cash,94.63
Regional C,StoreCard,94.6
Regional C,Cash,94.53
Other,Check,94.5
Other,Cash,94.47
Other,StoreCard,94.41
Major A,DebitCard,94.36
Regional A,DebitCard,94.28
Regional C,DebitCard,94.26
Major B,StoreCard,94.25
Major E,Check,94.19
Major E,StoreCard,94.07
Other,Cash,94.06
Major E,DebitCard,94.01
Major B,StoreCard,93.98
Regional D,Check,93.94
Other,Cash,93.93
Major B,Cash,93.91
Major A,Cash,93.89
Major D,Cash,93.89
Major A,Cash,93.84
Major D,StoreCard,93.77
Major B,Cash,93.77
Other,Check,93.73
Minor B,Cash,93.73
Major B,Check,93.71
Major D,Check,93.65
Major D,StoreCard,93.65
Major E,StoreCard,93.64
Major A,DebitCard,93.62
Other,Cash,93.6
Regional A,StoreCard,93.59
Major B,StoreCard,93.59
Other,Check,93.55
Major D,Check,93.52
Regional D,Check,93.51
Major B,Cash,93.49
Other,Cash,93.46
Regional D,StoreCard,93.46
Major E,StoreCard,93.42
Other,Cash,93.41
Major A,Cash,93.41
Major A,Cash,93.37
Major B,Cash,93.37
Major A,Cash,93.36
Other,Cash,93.35
Regional A,StoreCard,93.34
Other,Check,93.33
Major A,Cash,93.33
Major A,Cash,93.3
Regional A,Cash,93.29
Major E,DebitCard,93.28
Regional D,Cash,93.28
Regional C,StoreCard,93.27
Major D,StoreCard,93.26
Major E,Cash,93.25
Major A,Cash,93.25
Major B,Cash,93.24
Major A,Cash,93.21
Major A,Cash,93.17
Regional D,Cash,93.13
Major D,Cash,93.12
Regional C,StoreCard,93.11
Regional C,DebitCard,93.11
Major B,Check,93.1
Major B,StoreCard,93.07
Major A,Cash,93.04
Regional C,StoreCard,93.03
Major A,Cash,92.99
Other,Cash,92.97
Major B,Check,92.96
Major D,Check,92.95
Major B,StoreCard,92.95
Major D,StoreCard,92.91
Major A,Cash,92.89
Other,Cash,92.89
Regional C,Cash,92.89
Major A,Cash,92.87
Regional C,DebitCard,92.86
Regional B,StoreCard,92.78
Other,Cash,92.75
Major E,StoreCard,92.75
Major A,DebitCard,92.71
Regional C,Check,92.68
Major B,StoreCard,92.62
Major E,StoreCard,92.62
Major D,StoreCard,92.6
Regional C,StoreCard,92.56
Major A,Cash,92.56
Other,Cash,92.55
Major E,Cash,92.54
Other,StoreCard,92.54
Regional C,Check,92.54
Regional D,StoreCard,92.53
Major E,StoreCard,92.51
Major E,StoreCard,92.48
Major E,StoreCard,92.48
Minor E,Cash,92.46
Major B,StoreCard,92.42
Major E,Cash,92.34
Major A,Cash,92.33
Major E,StoreCard,92.32
Major A,DebitCard,92.24
Major D,DebitCard,92.24
Major B,Check,92.23
Other,Check,92.21
Major A,Cash,92.18
Major D,Cash,92.13
Other,Cash,92.12
Major A,Check,92.09
Major A,Cash,92.08
Major E,Cash,92.04
Major A,DebitCard,92
Major A,Cash,91.99
Other,Cash,91.94
Other,Check,91.93
Major A,Cash,91.92
Other,StoreCard,91.91
Regional B,Cash,91.88
Regional C,Check,91.87
Major A,Cash,91.86
Major E,StoreCard,91.84
Major E,Cash,91.8
Major E,Check,91.71
Regional D,Cash,91.71
Major D,StoreCard,91.7
Regional B,Cash,91.67
Major A,Cash,91.65
Major E,Cash,91.63
Regional C,StoreCard,91.61
Major B,StoreCard,91.56
Regional D,Cash,91.55
Major E,Cash,91.54
Major A,Cash,91.52
Other,Cash,91.52
Regional C,Check,91.48
Other,Cash,91.47
Major A,Cash,91.47
Major A,DebitCard,91.47
Other,Cash,91.44
Regional C,Cash,91.44
Regional C,Cash,91.42
Major A,Cash,91.4
Other,Cash,91.4
Major B,StoreCard,91.38
Major D,Cash,91.34
Major D,StoreCard,91.34
Major A,Cash,91.31
Major A,Cash,91.28
Regional B,Cash,91.23
Other,Check,91.19
Regional C,DebitCard,91.18
Other,Cash,91.18
Regional A,Cash,91.14
Regional D,Cash,91.14
Regional C,StoreCard,91.13
Major A,Cash,91.1
Major D,Check,91.07
Major E,StoreCard,91.03
Major B,Cash,90.98
Other,Cash,90.97
Major A,Cash,90.96
Major A,Cash,90.95
Major B,StoreCard,90.94
Major A,Cash,90.93
Other,Cash,90.93
Major B,Cash,90.92
Major B,Check,90.88
Other,Cash,90.85
Other,Cash,90.84
Major E,StoreCard,90.84
Major E,Cash,90.81
Other,Check,90.78
Major D,StoreCard,90.74
Regional A,Check,90.74
Major D,Check,90.7
Major A,Cash,90.7
Major A,DebitCard,90.68
Major A,Cash,90.67
Major D,DebitCard,90.67
Major B,StoreCard,90.66
Major B,DebitCard,90.65
Regional D,Check,90.62
Major B,Cash,90.61
Other,StoreCard,90.59
Major A,Cash,90.58
Major B,DebitCard,90.57
Major A,Cash,90.53
Major B,StoreCard,90.48
Major E,StoreCard,90.48
Major A,Cash,90.43
Major A,Check,90.36
Major D,Cash,90.27
Major D,Cash,90.25
Major D,StoreCard,90.24
Major D,DebitCard,90.24
Major A,Cash,90.2
Major B,Cash,90.18
Major E,Cash,90.17
Major A,DebitCard,90.14
Major D,Cash,90.14
Major A,DebitCard,90.13
Major B,Check,90.09
Regional B,Check,90.08
Regional C,StoreCard,90.03
Regional C,StoreCard,89.96
Major A,Cash,89.96
Regional B,Check,89.93
Regional C,StoreCard,89.88
Major A,Cash,89.83
Major A,DebitCard,89.83
Other,Other,89.82
Major A,Cash,89.73
Regional D,Cash,89.64
Other,Cash,89.59
Regional D,Cash,89.59
Major D,DebitCard,89.59
Regional D,StoreCard,89.57
Major D,StoreCard,89.48
Other,Check,89.45
Major D,Check,89.41
Major A,Cash,89.37
Major B,Cash,89.35
Regional A,Check,89.31
Major A,Cash,89.3
Other,Cash,89.26
Major B,StoreCard,89.26
Major D,Check,89.21
Major A,Cash,89.21
Regional B,StoreCard,89.14
Major E,Check,89.1
Major B,Cash,89.08
Major A,Cash,89.08
Other,Cash,89.03
Major E,Check,89.01
Major A,Cash,88.95
Major E,Check,88.93
Regional B,Cash,88.9
Major D,Cash,88.89
Regional B,Check,88.87
Major E,Cash,88.85
Major A,Cash,88.81
Major A,Cash,88.79
Regional C,Cash,88.75
Other,Cash,88.75
Regional B,Cash,88.72
Major A,Cash,88.7
Major D,Cash,88.7
Other,Cash,88.68
Other,Cash,88.6
Other,Cash,88.59
Major D,Cash,88.58
Major A,Cash,88.51
Major A,Cash,88.45
Regional D,Cash,88.23
Major B,DebitCard,88.23
Major A,Cash,88.16
Major B,Cash,88.15
Major B,DebitCard,88.13
Major A,Cash,88.13
Regional C,StoreCard,88.12
Regional C,StoreCard,87.9
Other,Cash,87.87
Major E,Cash,87.85
Major B,StoreCard,87.82
Major E,Check,87.81
Major B,Check,87.81
Major D,Check,87.79
Other,Cash,87.79
Other,StoreCard,87.79
Major A,Cash,87.77
Major A,Cash,87.73
Major B,StoreCard,87.72
Other,Cash,87.67
Major E,Cash,87.62
Major E,Cash,87.57
Major D,Check,87.56
Major A,Cash,87.42
Regional C,StoreCard,87.38
Major D,Check,87.38
Major B,StoreCard,87.38
Regional A,Check,87.35
Major B,StoreCard,87.28
Major B,Cash,87.27
Major A,DebitCard,87.23
Other,Cash,87.22
Major A,Cash,87.2
Major D,StoreCard,87.15
Major E,StoreCard,87.15
Major D,Check,87.12
Major D,Cash,87.12
Other,StoreCard,87.09
Major A,Cash,87.08
Regional A,Cash,86.98
Regional C,Check,86.93
Major A,Cash,86.93
Major B,StoreCard,86.89
Major A,Cash,86.81
Major A,DebitCard,86.8
Major D,Cash,86.78
Major D,StoreCard,86.78
Regional B,StoreCard,86.76
Other,StoreCard,86.74
Other,Cash,86.72
Regional C,Cash,86.7
Major A,DebitCard,86.62
Major A,Cash,86.61
Major B,StoreCard,86.57
Regional D,Check,86.56
Major B,Check,86.44
Major A,DebitCard,86.43
Major E,Cash,86.41
Regional C,StoreCard,86.39
Major A,Cash,86.34
Regional C,Check,86.28
Major B,StoreCard,86.27
Major E,StoreCard,86.26
Major A,Cash,86.26
Other,Cash,86.25
Other,Cash,86.09
Regional D,Check,86.09
Major D,Cash,86.08
Major B,Check,86.07
Major D,Check,86.06
Major E,StoreCard,86.05
Major A,Cash,86.01
Other,Cash,86
Regional C,Check,85.98
Major D,StoreCard,85.95
Major A,Cash,85.9
Major D,StoreCard,85.89
Major E,Cash,85.85
Major B,Cash,85.82
Major B,StoreCard,85.8
Regional D,StoreCard,85.78
Other,Cash,85.72
Major E,Cash,85.61
Other,Cash,85.61
Regional C,Cash,85.54
Major A,Cash,85.49
Major D,Check,85.48
Major D,DebitCard,85.47
Major B,StoreCard,85.45
Major D,Cash,85.41
Major B,StoreCard,85.33
Major E,StoreCard,85.3
Regional B,Check,85.28
Regional B,Check,85.28
Other,StoreCard,85.25
Regional C,Cash,85.22
Major E,StoreCard,85.22
Regional C,StoreCard,85.22
Regional D,Cash,85.18
Major D,StoreCard,85.11
Major E,StoreCard,85.06
Regional B,Check,85.02
Other,DebitCard,85
Major A,Cash,84.99
Major A,Cash,84.9
Regional C,StoreCard,84.87
Other,Cash,84.86
Major A,Cash,84.85
Major A,Cash,84.85
Major A,Cash,84.85
Regional A,Check,84.79
Regional A,StoreCard,84.78
Major D,Check,84.7
Major A,Cash,84.66
Regional C,DebitCard,84.66
Major B,DebitCard,84.65
Other,Check,84.62
Major A,Cash,84.54
Regional B,Cash,84.49
Regional B,Cash,84.48
Regional C,DebitCard,84.48
Major B,StoreCard,84.26
Major A,Cash,84.26
Major A,Cash,84.24
Other,Check,84.19
Minor B,Check,84.15
Major D,Cash,84.14
Major E,StoreCard,84.14
Major A,Cash,84.11
Major E,Cash,84.06
Major A,Cash,84.04
Major B,Cash,84.03
Major E,StoreCard,83.99
Other,Other,83.96
Major D,Cash,83.96
Major E,StoreCard,83.94
Other,Check,83.93
Other,Cash,83.93
Major B,Cash,83.87
Major E,StoreCard,83.84
Other,DebitCard,83.81
Major A,DebitCard,83.79
Major B,Check,83.78
Major D,DebitCard,83.65
Major E,StoreCard,83.59
Major B,StoreCard,83.57
Regional A,Check,83.57
Other,Cash,83.55
Other,Check,83.55
Major A,Cash,83.52
Regional C,Cash,83.5
Major A,Cash,83.47
Major A,Cash,83.42
Major D,Check,83.41
Major D,StoreCard,83.37
Major B,StoreCard,83.37
Major A,DebitCard,83.28
Major B,Cash,83.25
Other,Check,83.21
Major A,Cash,83.18
Major A,Cash,83.17
Major A,Cash,83.15
Regional D,Check,83.12
Other,Cash,83.08
Major A,DebitCard,83.02
Major B,StoreCard,82.95
Major D,Cash,82.85
Major D,StoreCard,82.81
Major D,Check,82.8
Major D,Check,82.75
Major A,Cash,82.71
Other,Cash,82.67
Major A,Cash,82.59
Major A,Cash,82.56
Major A,Cash,82.51
Other,Check,82.49
Major A,Cash,82.49
Major D,StoreCard,82.44
Regional B,Cash,82.43
Major D,Cash,82.43
Regional D,Cash,82.34
Regional C,StoreCard,82.32
Major A,DebitCard,82.31
Regional C,StoreCard,82.27
Major A,Cash,82.16
Regional D,Check,82.15
Major A,Cash,82.15
Major E,Cash,82.03
Other,StoreCard,82
Regional C,Cash,81.99
Regional D,Cash,81.96
Regional C,Cash,81.9
Major B,Cash,81.84
Major A,Cash,81.82
Major E,Cash,81.75
Major A,Cash,81.69
Major A,Cash,81.62
Other,Cash,81.6
Major D,Cash,81.59
Major A,Check,81.59
Other,Cash,81.56
Major A,Cash,81.55
Other,Check,81.54
Major B,StoreCard,81.53
Regional B,Cash,81.53
Regional D,Cash,81.49
Major B,StoreCard,81.44
Major D,Cash,81.44
Major A,Cash,81.33
Major E,Check,81.26
Regional A,Cash,81.17
Regional C,StoreCard,81.17
Major D,StoreCard,81.14
Other,Cash,81.11
Other,Cash,81.01
Other,DebitCard,80.93
Other,DebitCard,80.77
Major A,Check,80.71
Major D,Check,80.71
Major A,Cash,80.67
Major D,StoreCard,80.55
Other,Cash,80.54
Regional D,Cash,80.53
Major A,Cash,80.53
Major E,StoreCard,80.45
Major A,Cash,80.42
Major A,Cash,80.39
Major D,StoreCard,80.38
Major D,Check,80.36
Regional B,Cash,80.31
Other,Cash,80.27
Major B,StoreCard,80.24
Major A,Cash,80.22
Major A,Cash,80.22
Major A,DebitCard,80.18
Major A,DebitCard,80.15
Regional D,StoreCard,80.13
Major B,DebitCard,79.98
Major B,StoreCard,79.87
Regional A,Check,79.81
Major A,Cash,79.8
Other,Cash,79.75
Major D,Cash,79.72
Other,Cash,79.65
Regional D,Cash,79.57
Regional B,Cash,79.55
Major B,Cash,79.53
Other,Cash,79.52
Major E,Check,79.45
Major E,Cash,79.43
Major A,DebitCard,79.42
Major A,Cash,79.42
Major A,Cash,79.35
Regional C,Cash,79.25
Major E,StoreCard,79.2
Major B,Cash,79.18
Regional D,StoreCard,79.15
Regional D,Other,79.11
Major A,Cash,79.1
Major E,StoreCard,79.06
Major E,StoreCard,79.03
Major D,StoreCard,78.98
Other,Cash,78.97
Major A,Cash,78.97
Major E,StoreCard,78.92
Regional C,Cash,78.87
Regional B,Cash,78.81
Major D,StoreCard,78.75
Major E,Cash,78.73
Major D,Check,78.67
Regional A,Cash,78.65
Other,Cash,78.5
Major D,StoreCard,78.49
Major B,StoreCard,78.48
Major B,DebitCard,78.47
Major D,Cash,78.44
Major B,StoreCard,78.42
Major A,DebitCard,78.27
Other,Cash,78.17
Major B,StoreCard,78.16
Major A,Cash,78.15
Regional C,StoreCard,78.09
Major A,Cash,78.07
Major A,Cash,78.03
Regional B,Cash,78.02
Regional C,Check,77.99
Major D,Cash,77.99
Regional B,Cash,77.94
Regional A,StoreCard,77.93
Major B,StoreCard,77.92
Major A,Cash,77.91
Regional C,StoreCard,77.9
Regional B,StoreCard,77.83
Regional C,Cash,77.82
Major D,Check,77.79
Major A,DebitCard,77.79
Major D,DebitCard,77.76
Major D,StoreCard,77.75
Major A,Cash,77.74
Major D,StoreCard,77.71
Other,Cash,77.67
Major A,Cash,77.54
Regional C,Cash,77.49
Major A,Cash,77.44
Regional C,Cash,77.39
Major D,Check,77.38
Major A,Cash,77.35
Other,Check,77.32
Other,Cash,77.31
Major A,Cash,77.26
Major D,StoreCard,77.18
Other,Cash,77.15
Major A,Cash,76.99
Major A,Cash,76.94
Major B,StoreCard,76.89
Major A,Cash,76.88
Major A,Cash,76.85
Other,Cash,76.83
Regional C,Cash,76.81
Regional B,Cash,76.72
Regional C,Check,76.71
Major B,Check,76.71
Major D,Check,76.48
Major A,Cash,76.48
Major E,Check,76.39
Major A,Cash,76.35
Major E,StoreCard,76.33
Major B,StoreCard,76.29
Major B,Cash,76.28
Major D,DebitCard,76.26
Minor B,Cash,76.19
Major B,Cash,76.19
Other,Cash,76.12
Major E,StoreCard,76.09
Regional B,Cash,76.02
Major E,Cash,75.95
Major B,StoreCard,75.92
Major D,Cash,75.9
Major A,Cash,75.9
Regional B,Cash,75.9
Major E,Cash,75.8
Major A,Cash,75.79
Regional C,Cash,75.77
Other,Cash,75.74
Major A,Cash,75.66
Major A,Cash,75.66
Major B,StoreCard,75.65
Major A,DebitCard,75.62
Regional A,StoreCard,75.61
Other,DebitCard,75.59
Other,Cash,75.52
Regional D,Check,75.51
Major E,Check,75.47
Major E,Cash,75.4
Major A,StoreCard,75.38
Regional C,Check,75.23
Other,StoreCard,75.03
Other,Cash,74.95
Major B,Cash,74.93
Major A,Cash,74.64
Major A,Cash,74.57
Major D,Cash,74.52
Major B,Cash,74.5
Major E,StoreCard,74.43
Other,Cash,74.36
Major E,Cash,74.27
Major B,StoreCard,74.23
Regional D,StoreCard,74.15
Major A,Cash,74.15
Regional D,Cash,74.12
Regional D,Cash,74.11
Other,Cash,74.08
Regional C,DebitCard,74.08
Major A,Cash,74.05
Major D,Cash,74.04
Regional C,Cash,74
Other,Cash,73.99
Major D,Cash,73.99
Major E,Cash,73.98
Other,StoreCard,73.98
Major E,Cash,73.92
Major D,Cash,73.88
Major A,Cash,73.87
Other,Cash,73.86
Regional B,Cash,73.84
Major A,Cash,73.76
Major E,Cash,73.73
Major B,Cash,73.62
Major D,Check,73.49
Major A,Cash,73.4
Major D,Check,73.33
Major A,DebitCard,73.3
Major D,Check,73.26
Major B,Cash,73.25
Regional D,Cash,73.18
Other,Cash,73.13
Major A,DebitCard,73.13
Major B,StoreCard,73.11
Major E,Check,73.1
Major A,Cash,73.1
Major A,Cash,73.05
Other,StoreCard,72.93
Major A,Cash,72.89
Regional C,StoreCard,72.88
Major B,StoreCard,72.86
Major B,Check,72.85
Major B,StoreCard,72.82
Other,Cash,72.82
Major E,Check,72.78
Major A,Cash,72.7
Other,Cash,72.69
Major A,Cash,72.59
Major A,Cash,72.57
Other,Cash,72.54
Other,Cash,72.52
Major A,DebitCard,72.47
Regional C,Cash,72.47
Regional C,Cash,72.46
Regional A,StoreCard,72.42
Other,Cash,72.36
Major D,StoreCard,72.34
Major A,Cash,72.32
Major E,Cash,72.32
Major A,Cash,72.31
Major D,Check,72.19
Major A,Cash,72.17
Regional A,Cash,72.11
Other,DebitCard,72.1
Regional B,Cash,72.08
Major A,Cash,72.07
Major A,Cash,72.01
Regional B,Cash,71.96
Regional A,Check,71.95
Major E,Cash,71.9
Major E,StoreCard,71.88
Other,Cash,71.82
Major A,Cash,71.78
Regional A,StoreCard,71.62
Regional C,Cash,71.61
Major B,Cash,71.58
Major E,Cash,71.54
Regional C,Cash,71.44
Major A,Cash,71.39
Major A,Cash,71.36
Regional B,Check,71.34
Major B,StoreCard,71.32
Major B,StoreCard,71.27
Other,Cash,71.26
Other,Cash,71.13
Other,Cash,71.03
Major E,Cash,71.02
Major B,StoreCard,70.99
Regional D,Cash,70.98
Major A,Cash,70.91
Other,Check,70.88
Major A,Cash,70.87
Regional B,DebitCard,70.86
Major A,Cash,70.78
Other,Cash,70.77
Major D,Cash,70.75
Major A,Cash,70.72
Other,Cash,70.7
Other,Cash,70.7
Major B,StoreCard,70.7
Major A,Cash,70.68
Major A,Cash,70.64
Major E,Check,70.59
Other,StoreCard,70.56
Major A,Cash,70.55
Major A,Cash,70.5
Regional C,Cash,70.46
Major A,Cash,70.41
Regional C,DebitCard,70.41
Major A,Cash,70.35
Major B,Check,70.33
Major A,Cash,70.3
Major D,Check,70.27
Major A,Cash,70.16
Regional C,Check,70.13
Other,Cash,70.13
Other,Cash,70
Major A,Cash,69.74
Other,Cash,69.63
Regional C,Check,69.55
Major A,Other,69.54
Other,Cash,69.48
Major E,Cash,69.35
Major E,DebitCard,69.24
Major D,Cash,69.24
Other,Cash,69.22
Regional D,Cash,69.19
Other,Cash,69.05
Major B,Cash,69
Regional C,Check,68.85
Major A,DebitCard,68.72
Major B,Cash,68.54
Regional C,Check,68.52
Major B,Cash,68.39
Other,Cash,68.35
Regional A,StoreCard,68.22
Major B,StoreCard,68.19
Major A,Cash,68.14
Major D,StoreCard,68.07
Other,Check,68.06
Major B,StoreCard,67.95
Major A,Cash,67.95
Other,Cash,67.89
Regional C,Cash,67.88
Major A,Cash,67.81
Major B,Cash,67.81
Major D,Cash,67.69
Major B,Cash,67.68
Regional C,Cash,67.42
Regional B,Cash,67.29
Major D,Check,67.15
Regional B,Cash,67.1
Other,Cash,67.08
Major D,Cash,67.07
Major A,Cash,67.06
Major A,DebitCard,66.88
Major A,Check,66.85
Other,StoreCard,66.82
Major B,Cash,66.72
Regional D,Cash,66.63
Regional C,Cash,66.57
Regional B,Cash,66.41
Major E,StoreCard,66.17
Regional C,StoreCard,66.11
Major A,Cash,66.09
Major A,Cash,66.01
Major A,Cash,65.97
Major B,StoreCard,65.97
Other,Cash,65.82
Major A,Cash,65.79
Major B,StoreCard,65.69
Major D,Check,65.68
Major A,Cash,65.56
Regional A,Cash,65.47
Other,Cash,65.29
Major A,Cash,65.08
Other,Cash,65.05
Major A,Cash,65.03
Major E,Cash,64.93
Major B,Check,64.85
Major A,Cash,64.64
Major B,StoreCard,64.57
Other,Cash,64.4
Other,Cash,64.21
Major B,StoreCard,64.17
Major A,Cash,64.11
Major A,Cash,64.04
Major D,Cash,63.91
Major A,Cash,63.88
Regional C,Cash,63.76
Other,Cash,63.72
Major D,Cash,63.64
Other,Cash,63.53
Major A,Cash,63.43
Major B,StoreCard,63.3
Major D,Check,63.23
Major D,Cash,63.18
Other,Check,63.15
Major A,Check,63.13
Major D,Cash,62.86
Regional B,Cash,62.7
Major A,Cash,62.67
Other,Check,62.58
Major A,Cash,62.5
Major B,DebitCard,62.43
Major A,Cash,62.4
Major E,Check,62.14
Major A,DebitCard,62.09
Major A,DebitCard,61.98
Major B,Cash,61.94
Major B,Cash,61.92
Major B,Check,61.88
Major E,StoreCard,61.8
Major D,Cash,61.66
Regional A,Cash,61.37
Major B,Check,61.25
Other,Cash,61.18
Other,StoreCard,61.09
Other,Cash,60.95
Major B,Cash,60.88
Major D,Check,60.85
Major A,Cash,60.84
Major B,StoreCard,60.82
Other,Cash,60.6
Major B,DebitCard,60.43
Major A,Cash,60.43
Major B,DebitCard,60.41
Major A,Cash,60.27
Other,Cash,60.21
Major E,StoreCard,60.15
Major A,Cash,59.96
Major A,Cash,59.92
Regional A,Cash,59.84
Major A,Cash,59.81
Major A,DebitCard,59.74
Major B,Check,59.33
Major D,StoreCard,59.24
Major B,Cash,59.01
Major A,Cash,58.99
Regional D,Cash,58.99
Regional C,DebitCard,58.91
Regional B,Cash,58.88
Major A,Cash,58.82
Regional D,Cash,58.66
Major A,DebitCard,58.55
Major E,StoreCard,58.43
Other,Check,58.4
Other,Cash,58.36
Regional C,DebitCard,58.36
Other,Cash,57.91
Regional C,Check,57.89
Major B,Cash,57.66
Major A,Check,57.66
Other,Check,57.61
Other,Cash,57.42
Regional C,Cash,57.32
Major B,StoreCard,57.3
Regional C,Cash,57.14
Major A,Cash,57.14
Other,Cash,56.88
Other,Check,56.86
Major B,Cash,56.82
Major D,Cash,56.8
Major B,StoreCard,56.71
Regional B,Cash,56.62
Regional A,Cash,56.29
Other,Cash,56.22
Other,Cash,56.21
Regional D,Cash,56.05
Major D,Cash,55.56
Major A,Cash,55.35
Minor B,StoreCard,55.21
Major B,DebitCard,55.18
Major A,Cash,54.99
Major D,Check,54.73
Other,Cash,54.67
Regional C,StoreCard,54.61
Regional B,Cash,54.59
Major A,Cash,54.55
Major A,Cash,54.53
Major E,StoreCard,54.53
Other,DebitCard,54.42
Major D,Cash,54.36
Major A,StoreCard,54.35
Major E,Check,54.34
Regional C,Cash,54.3
Major A,Cash,54.26
Major A,Cash,54.17
Major D,Check,54.07
Other,StoreCard,53.87
Major B,StoreCard,53.85
Major B,Cash,53.73
Regional C,Cash,53.58
Major A,Cash,53.55
Regional D,Cash,53.5
Other,Cash,53.49
Regional D,StoreCard,53.27
Major A,Cash,53.27
Major B,Cash,53.21
Regional C,Cash,53.17
Major E,Check,53.16
Other,Cash,53.07
Other,StoreCard,53.07
Regional B,Cash,52.91
Major B,Cash,52.79
Regional C,Check,52.73
Major D,Cash,52.71
Major A,Cash,52.6
Major A,Cash,52.39
Major B,Cash,52.29
Regional D,Cash,51.92
Major D,Cash,51.42
Major B,Cash,51.02
Other,Cash,50.9
Regional C,Cash,50.77
Regional A,StoreCard,50.5
Other,Cash,50.49
Major A,Cash,50.41
Major A,Cash,49.99
Other,Cash,49.92
Major E,Cash,49.47
Major E,Cash,49.01
Regional D,StoreCard,48.91
Major A,Cash,48.88
Major A,DebitCard,48.29
Major E,StoreCard,48.26
Major B,Cash,48.16
Regional C,Cash,48.16
Major B,Cash,48.15
Major A,Cash,48.1
Other,Cash,47.87
Regional B,Cash,47.84
Major E,StoreCard,47.75
Other,Cash,47.73
Regional A,Cash,47.57
Major A,Cash,47.54
Other,Cash,47.34
Regional A,Cash,47.26
Regional A,Cash,47.25
Major B,Check,47.22
Regional C,Cash,47.21
Major A,Cash,47.06
Regional C,Cash,46.93
Major D,Cash,46.43
Major A,Cash,46.41
Major E,StoreCard,46.35
Other,Cash,46.35
Other,StoreCard,46.08
Major A,Cash,45.98
Major E,Cash,45.92
Regional B,DebitCard,45.55
Major D,Cash,45.15
Regional D,StoreCard,45.08
Major A,Cash,45.02
Major A,Cash,44.97
Major A,Cash,44.96
Regional C,Cash,44.76
Regional A,Cash,44.47
Major B,Check,44.4
Other,Cash,44.35
Major A,Cash,44.31
Other,Cash,44.26
Major A,Cash,44.16
Other,Cash,44.15
Major B,Cash,44.12
Major B,Cash,44.06
Other,Cash,43.68
Major B,StoreCard,43.63
Major A,Cash,43.38
Major A,Cash,43.2
Major B,Cash,43.14
Major A,Cash,42.98
Major D,Cash,42.96
Major A,Cash,42.9
Major E,Cash,42.81
Other,Cash,42.44
Major A,Cash,42.16
Major B,Cash,42.11
Major D,Cash,41.95
Regional B,DebitCard,41.83
Major A,Cash,41.55
Other,Cash,41.44
Regional C,Cash,41.43
Other,Cash,41.16
Regional C,Cash,41.1
Major A,Cash,40.65
Major D,Cash,40.48
Regional A,Cash,40.45
Major E,Check,40.44
Major B,StoreCard,40.2
Other,Cash,40.17
Major B,Cash,40.13
